map_acc	map_name	map_start	map_stop	feature_acc	feature_name	feature_aliases	feature_start	feature_stop	feature_type_acc	is_landmark
Tao2000_C	C	0	311.32	Tao2000_C_1	BNL14.28		187.48	187.48	marker	1
Tao2000_C	C	0	311.32	Tao2000_C_2	BNL5.09		193.5	193.5	marker	1
Tao2000_C	C	0	311.32	Tao2000_C_3	CSU59		211.56	211.56	marker	1
Tao2000_C	C	0	311.32	Tao2000_C_4	psb600		276.06	276.06	marker	1
Tao2000_C	C	0	311.32	Tao2000_C_5	pSB050		157.38	157.38	marker	1
Tao2000_C	C	0	311.32	Tao2000_C_6	pSB508		311.32	311.32	marker	1
Tao2000_C	C	0	311.32	Tao2000_C_7	TXS1537		72.24	72.24	marker	1
Tao2000_C	C	0	311.32	Tao2000_C_8	TXS2072		0	0	marker	1
Tao2000_C	C	0	311.32	Tao2000_C_9	S16584		37.84	37.84	marker	1
Tao2000_C	C	0	311.32	Tao2000_C_10	TXS361.1		46.44	46.44	marker	1
Tao2000_C	C	0	311.32	Tao2000_C_11	X1		48.16	48.16	marker	1
Tao2000_C	C	0	311.32	Tao2000_C_12	ISU122		48.16	48.16	marker	1
Tao2000_C	C	0	311.32	Tao2000_C_13	ST55		52.46	52.46	marker	1
Tao2000_C	C	0	311.32	Tao2000_C_14	ST982		62.78	62.78	marker	1
Tao2000_C	C	0	311.32	Tao2000_C_15	PSB033		62.78	62.78	marker	1
Tao2000_C	C	0	311.32	Tao2000_C_16	RZ323.1		62.78	62.78	marker	1
Tao2000_C	C	0	311.32	Tao2000_C_17	TXS1573		73.96	73.96	marker	1
Tao2000_C	C	0	311.32	Tao2000_C_18	RZ500		82.56	82.56	marker	1
Tao2000_C	C	0	311.32	Tao2000_C_19	BCD454		91.16	91.16	marker	1
Tao2000_C	C	0	311.32	Tao2000_C_20	SSCIR124		92.88	92.88	marker	1
Tao2000_C	C	0	311.32	Tao2000_C_21	CSU5		107.5	107.5	marker	1
Tao2000_C	C	0	311.32	Tao2000_C_22	TS61		127.28	127.28	marker	1
Tao2000_C	C	0	311.32	Tao2000_C_23	ST1847		130.72	130.72	marker	1
Tao2000_C	C	0	311.32	Tao2000_C_24	TS122		130.72	130.72	marker	1
Tao2000_C	C	0	311.32	Tao2000_C_25	ISU044		130.72	130.72	marker	1
Tao2000_C	C	0	311.32	Tao2000_C_26	ISU41		130.72	130.72	marker	1
Tao2000_C	C	0	311.32	Tao2000_C_27	ST37		132.44	132.44	marker	1
Tao2000_C	C	0	311.32	Tao2000_C_28	ST1277		137.6	137.6	marker	1
Tao2000_C	C	0	311.32	Tao2000_C_29	RZ672		142.76	142.76	marker	1
Tao2000_C	C	0	311.32	Tao2000_C_30	MB6_57		152.22	152.22	marker	1
Tao2000_C	C	0	311.32	Tao2000_C_31	ST1595		158.24	158.24	marker	1
Tao2000_C	C	0	311.32	Tao2000_C_32	SSCIR90		185.76	185.76	marker	1
Tao2000_C	C	0	311.32	Tao2000_C_33	CDSR046		191.78	191.78	marker	1
Tao2000_C	C	0	311.32	Tao2000_C_34	SSCIR140		202.96	202.96	marker	1
Tao2000_C	C	0	311.32	Tao2000_C_35	TS133		207.26	207.26	marker	1
Tao2000_C	C	0	311.32	Tao2000_C_36	ST1993		216.72	216.72	marker	1
Tao2000_C	C	0	311.32	Tao2000_C_37	ST1836B		241.66	241.66	marker	1
Tao2000_C	C	0	311.32	Tao2000_C_38	TXS1625		276.06	276.06	marker	1
Tao2000_C	C	0	311.32	Tao2000_C_39	ST1916		286.38	286.38	marker	1
Tao2000_C	C	0	311.32	Tao2000_C_40	ST1421		290.68	290.68	marker	1
