map_acc	map_name	map_start	map_stop	feature_acc	feature_name	feature_aliases	feature_start	feature_stop	feature_type_acc	is_landmark
kl2004-1	LG-01	0	231.6	kl2004-1-4	txa2621		2.6	7.6	aflp	0
kl2004-1	LG-01	0	231.6	kl2004-1-11	txa6003		8.4	8.4	aflp	0
kl2004-1	LG-01	0	231.6	kl2004-1-18	txa3632		13.2	13.2	aflp	0
kl2004-1	LG-01	0	231.6	kl2004-1-21	txa2998		13.2	16.1	aflp	0
kl2004-1	LG-01	0	231.6	kl2004-1-38	txa3527		16.1	19	aflp	0
kl2004-1	LG-01	0	231.6	kl2004-1-49	txp325	txp325(01)	26.5	26.5	ssr	0
kl2004-1	LG-01	0	231.6	kl2004-1-52	UMC90	48583330,UMC090,UMC090E6,UMC90E6,Xumc90,p-umc90,p-umc90a,umc90.A	26.5	29.5	rflp	0
kl2004-1	LG-01	0	231.6	kl2004-1-53	txp350		26.5	29.5	ssr	0
kl2004-1	LG-01	0	231.6	kl2004-1-56	txa359		26.5	29.5	aflp	0
kl2004-1	LG-01	0	231.6	kl2004-1-57	txa2084		29.5	29.5	aflp	0
kl2004-1	LG-01	0	231.6	kl2004-1-58	txa3488		30.6	30.6	aflp	0
kl2004-1	LG-01	0	231.6	kl2004-1-64	txa6383		33.3	38.2	aflp	0
kl2004-1	LG-01	0	231.6	kl2004-1-83	txs1075		42.4	42.4	rflp	0
kl2004-1	LG-01	0	231.6	kl2004-1-99	txa6395		45.2	48.5	aflp	0
kl2004-1	LG-01	0	231.6	kl2004-1-114	txa2845		66.1	70.1	aflp	0
kl2004-1	LG-01	0	231.6	kl2004-1-122	txa3538		70.1	73.9	aflp	0
kl2004-1	LG-01	0	231.6	kl2004-1-127	txa3782		70.1	75.5	aflp	0
kl2004-1	LG-01	0	231.6	kl2004-1-128	txa147		73.9	75.5	aflp	0
kl2004-1	LG-01	0	231.6	kl2004-1-184	txa2293		89.4	93.7	aflp	0
kl2004-1	LG-01	0	231.6	kl2004-1-201	txa3219		97.5	103.4	aflp	0
kl2004-1	LG-01	0	231.6	kl2004-1-206	txp88	txp88(01)	103.4	107.8	ssr	0
kl2004-1	LG-01	0	231.6	kl2004-1-210	txa3209		107.8	109.6	aflp	0
kl2004-1	LG-01	0	231.6	kl2004-1-211	txs490		107.8	109.6	rflp	0
kl2004-1	LG-01	0	231.6	kl2004-1-225	txa6110		120	124.3	aflp	0
kl2004-1	LG-01	0	231.6	kl2004-1-243	txa3244		136.6	138.6	aflp	0
kl2004-1	LG-01	0	231.6	kl2004-1-248	ISU61	48582873,ISU61A,ISU61B,ISU61C,M62878,Xisu61.3,ZmISU61,isu61d,isu61e,isu61f,isu98B	139.9	141.3	rflp	0
kl2004-1	LG-01	0	231.6	kl2004-1-251	txa3812		141.3	141.3	aflp	0
kl2004-1	LG-01	0	231.6	kl2004-1-259	txs1225		149.7	149.7	rflp	0
kl2004-1	LG-01	0	231.6	kl2004-1-260	txa2876		149.7	153.8	aflp	0
kl2004-1	LG-01	0	231.6	kl2004-1-266	gap57	gap57(01)	156.3	160.1	ssr	0
kl2004-1	LG-01	0	231.6	kl2004-1-268	txa3858		160.1	163.4	aflp	0
kl2004-1	LG-01	0	231.6	kl2004-1-270	txa3826		163.4	163.4	aflp	0
kl2004-1	LG-01	0	231.6	kl2004-1-275	txa2803		165.5	168.8	aflp	0
kl2004-1	LG-01	0	231.6	kl2004-1-276	txa571		166.4	168.8	aflp	0
kl2004-1	LG-01	0	231.6	kl2004-1-278	txp279	txp279(01)	172.3	172.3	ssr	0
kl2004-1	LG-01	0	231.6	kl2004-1-281	txp229		168.8	178.4	ssr	0
kl2004-1	LG-01	0	231.6	kl2004-1-282	txa3660		178.4	178.4	aflp	0
kl2004-1	LG-01	0	231.6	kl2004-1-285	txa2511		180.3	182.3	aflp	0
kl2004-1	LG-01	0	231.6	kl2004-1-303	isu133		183.6	186.4	rflp	0
kl2004-1	LG-01	0	231.6	kl2004-1-314	txp284		190.6	193.3	ssr	0
kl2004-1	LG-01	0	231.6	kl2004-1-318	txa424		190.6	193.3	aflp	0
kl2004-1	LG-01	0	231.6	kl2004-1-319	BNL5.09	48587148,BNL05.09,Xbnl5.09,bnl5.09,bnl5.09a,bnl5.09b,p-bnl5.09	190.6	193.3	rflp	0
kl2004-1	LG-01	0	231.6	kl2004-1-329	BNL14.28	48587166,bnl14.28a,bnl14.28b,p-bnl14.28	196	203.7	rflp	0
kl2004-1	LG-01	0	231.6	kl2004-1-330	txa3754		196	203.7	aflp	0
kl2004-1	LG-01	0	231.6	kl2004-1-333	txa200		205.5	205.5	aflp	0
kl2004-1	LG-01	0	231.6	kl2004-1-347	umc157	48582644,Xumc157,umc157(chn),umc157(chn).A,umc157a(chn),umc157b(chn)	217.7	217.7	rflp	0
kl2004-1	LG-01	0	231.6	kl2004-1-348	txa2945		218.4	218.4	aflp	0
kl2004-1	LG-01	0	231.6	kl2004-1-354	txa2344		223.7	228.1	aflp	0
kl2004-1	LG-01	0	231.6	kl2004-1-365	txa581		228.1	231.6	aflp	0
kl2004-1	LG-01	0	231.6	kl2004-1-379	txp46	txp46(01)	231.6	231.6	ssr	0
kl2004-1	LG-01	0	231.6	kl2004-1-380	txp248		231.6	231.6	ssr	0
kl2004-1	LG-01	0	231.6	kl2004-1-381	txp316		231.6	231.6	ssr	0
kl2004-1	LG-01	0	231.6	kl2004-1-59	txa6373		30.6	31.7	aflp	0
kl2004-1	LG-01	0	231.6	kl2004-1-220	txa216		114.3	114.3	aflp	0
kl2004-1	LG-01	0	231.6	kl2004-1-157	txa143		81.6	83.5	aflp	0
kl2004-1	LG-01	0	231.6	kl2004-1-208	txa148		107.8	107.8	aflp	0
kl2004-1	LG-01	0	231.6	kl2004-1-340	txa18		205.5	209.8	aflp	0
kl2004-1	LG-01	0	231.6	kl2004-1-358	txa194		223.7	228.1	aflp	0
kl2004-1	LG-01	0	231.6	kl2004-1-293	txa203		183.6	183.6	aflp	0
kl2004-1	LG-01	0	231.6	kl2004-1-228	txa2059		124.3	124.3	aflp	0
kl2004-1	LG-01	0	231.6	kl2004-1-226	txa2066		120	124.3	aflp	0
kl2004-1	LG-01	0	231.6	kl2004-1-257	txa2070		141.3	144.9	aflp	0
kl2004-1	LG-01	0	231.6	kl2004-1-359	txa2089		223.7	228.1	aflp	0
kl2004-1	LG-01	0	231.6	kl2004-1-191	txa2091		95.5	95.5	aflp	0
kl2004-1	LG-01	0	231.6	kl2004-1-138	txa2112		78.6	80.4	aflp	0
kl2004-1	LG-01	0	231.6	kl2004-1-328	txa2129		196	203.7	aflp	0
kl2004-1	LG-01	0	231.6	kl2004-1-116	txa2140		66.1	70.1	aflp	0
kl2004-1	LG-01	0	231.6	kl2004-1-151	txa215		78.6	80.4	aflp	0
kl2004-1	LG-01	0	231.6	kl2004-1-241	txa2169		136.6	138.6	aflp	0
kl2004-1	LG-01	0	231.6	kl2004-1-238	txa2210		132.6	136.6	aflp	0
kl2004-1	LG-01	0	231.6	kl2004-1-129	txa2217		75.5	75.5	aflp	0
kl2004-1	LG-01	0	231.6	kl2004-1-167	txa2223		83.5	86.1	aflp	0
kl2004-1	LG-01	0	231.6	kl2004-1-186	txa2239		89.4	93.7	aflp	0
kl2004-1	LG-01	0	231.6	kl2004-1-35	txa224		16.1	19	aflp	0
kl2004-1	LG-01	0	231.6	kl2004-1-316	txa2241		190.6	193.3	aflp	0
kl2004-1	LG-01	0	231.6	kl2004-1-158	txa2251		78.6	83.5	aflp	0
kl2004-1	LG-01	0	231.6	kl2004-1-165	txa2252		83.5	86.1	aflp	0
kl2004-1	LG-01	0	231.6	kl2004-1-193	txa2270		97.5	100.6	aflp	0
kl2004-1	LG-01	0	231.6	kl2004-1-198	txa2285		100.6	100.6	aflp	0
kl2004-1	LG-01	0	231.6	kl2004-1-292	txa2304		183.6	183.6	aflp	0
kl2004-1	LG-01	0	231.6	kl2004-1-168	txa2331		81.6	86.1	aflp	0
kl2004-1	LG-01	0	231.6	kl2004-1-131	txa2346		75.5	78.2	aflp	0
kl2004-1	LG-01	0	231.6	kl2004-1-233	txa2355		127.8	127.8	aflp	0
kl2004-1	LG-01	0	231.6	kl2004-1-232	txa243		127.8	127.8	aflp	0
kl2004-1	LG-01	0	231.6	kl2004-1-113	txa2534		66.1	70.1	aflp	0
kl2004-1	LG-01	0	231.6	kl2004-1-230	txa2583		124.3	127.8	aflp	0
kl2004-1	LG-01	0	231.6	kl2004-1-242	txa2588		136.6	138.6	aflp	0
kl2004-1	LG-01	0	231.6	kl2004-1-235	txa2609		130	130	aflp	0
kl2004-1	LG-01	0	231.6	kl2004-1-112	txa2615		66.1	66.1	aflp	0
kl2004-1	LG-01	0	231.6	kl2004-1-212	txa2623		109.6	109.6	aflp	0
kl2004-1	LG-01	0	231.6	kl2004-1-234	txa2644		128.2	128.2	aflp	0
kl2004-1	LG-01	0	231.6	kl2004-1-143	txa2651		78.6	80.4	aflp	0
kl2004-1	LG-01	0	231.6	kl2004-1-144	txa2654		75.5	80.4	aflp	0
kl2004-1	LG-01	0	231.6	kl2004-1-125	txa2655		73.9	73.9	aflp	0
kl2004-1	LG-01	0	231.6	kl2004-1-246	txa2658		138.6	138.6	aflp	0
kl2004-1	LG-01	0	231.6	kl2004-1-62	txa2683		33.3	38.2	aflp	0
kl2004-1	LG-01	0	231.6	kl2004-1-182	txa270		89.4	93.7	aflp	0
kl2004-1	LG-01	0	231.6	kl2004-1-3	txa2704		2.6	2.6	aflp	0
kl2004-1	LG-01	0	231.6	kl2004-1-120	txa2716		70.1	73.9	aflp	0
kl2004-1	LG-01	0	231.6	kl2004-1-5	txa2723		2.6	7.6	aflp	0
kl2004-1	LG-01	0	231.6	kl2004-1-308	txa2728		189.2	190.6	aflp	0
kl2004-1	LG-01	0	231.6	kl2004-1-181	txa2738		89.4	93.7	aflp	0
kl2004-1	LG-01	0	231.6	kl2004-1-169	txa2748		83.5	86.1	aflp	0
kl2004-1	LG-01	0	231.6	kl2004-1-170	txa2760		83.5	86.1	aflp	0
kl2004-1	LG-01	0	231.6	kl2004-1-107	txa2765		54.8	61.7	aflp	0
kl2004-1	LG-01	0	231.6	kl2004-1-146	txa2770		75.5	80.4	aflp	0
kl2004-1	LG-01	0	231.6	kl2004-1-80	txa2773		40.7	42.4	aflp	0
kl2004-1	LG-01	0	231.6	kl2004-1-166	txa2808		83.5	86.1	aflp	0
kl2004-1	LG-01	0	231.6	kl2004-1-279	txa2837		175.4	175.4	aflp	0
kl2004-1	LG-01	0	231.6	kl2004-1-173	txa2847		86.1	86.1	aflp	0
kl2004-1	LG-01	0	231.6	kl2004-1-296	txa2865		183.6	186.4	aflp	0
kl2004-1	LG-01	0	231.6	kl2004-1-111	txa2871		61.7	66.1	aflp	0
kl2004-1	LG-01	0	231.6	kl2004-1-147	txa2901		78.6	80.4	aflp	0
kl2004-1	LG-01	0	231.6	kl2004-1-108	txa2953		54.8	61.7	aflp	0
kl2004-1	LG-01	0	231.6	kl2004-1-20	txa2959		13.2	16.1	aflp	0
kl2004-1	LG-01	0	231.6	kl2004-1-341	txa298		209.8	209.8	aflp	0
kl2004-1	LG-01	0	231.6	kl2004-1-203	txa3000		103.4	107.8	aflp	0
kl2004-1	LG-01	0	231.6	kl2004-1-297	txa3006		175.4	186.4	aflp	0
kl2004-1	LG-01	0	231.6	kl2004-1-162	txa301		81.6	83.5	aflp	0
kl2004-1	LG-01	0	231.6	kl2004-1-249	txa3013		139.9	141.3	aflp	0
kl2004-1	LG-01	0	231.6	kl2004-1-286	txa3016		180.3	182.3	aflp	0
kl2004-1	LG-01	0	231.6	kl2004-1-291	txa3018		182.3	183.6	aflp	0
kl2004-1	LG-01	0	231.6	kl2004-1-139	txa3033		78.6	80.4	aflp	0
kl2004-1	LG-01	0	231.6	kl2004-1-15	txa3050		11.9	16.1	aflp	0
kl2004-1	LG-01	0	231.6	kl2004-1-134	txa3051		75.5	78.2	aflp	0
kl2004-1	LG-01	0	231.6	kl2004-1-126	txa3120		73.9	75.5	aflp	0
kl2004-1	LG-01	0	231.6	kl2004-1-106	txa3126		54.8	54.8	aflp	0
kl2004-1	LG-01	0	231.6	kl2004-1-121	txa3131		70.1	73.9	aflp	0
kl2004-1	LG-01	0	231.6	kl2004-1-231	txa3144		124.3	127.8	aflp	0
kl2004-1	LG-01	0	231.6	kl2004-1-36	txa3154		16.1	19	aflp	0
kl2004-1	LG-01	0	231.6	kl2004-1-154	txa3161		80.4	81.6	aflp	0
kl2004-1	LG-01	0	231.6	kl2004-1-140	txa3162		78.6	80.4	aflp	0
kl2004-1	LG-01	0	231.6	kl2004-1-245	txa320		136.6	138.6	aflp	0
kl2004-1	LG-01	0	231.6	kl2004-1-135	txa3204		75.5	78.2	aflp	0
kl2004-1	LG-01	0	231.6	kl2004-1-87	txa3222		42.4	48.5	aflp	0
kl2004-1	LG-01	0	231.6	kl2004-1-338	txa3229		205.5	209.8	aflp	0
kl2004-1	LG-01	0	231.6	kl2004-1-250	txa3239		139.9	141.3	aflp	0
kl2004-1	LG-01	0	231.6	kl2004-1-152	txa325		75.5	80.4	aflp	0
kl2004-1	LG-01	0	231.6	kl2004-1-177	txa3252		86.5	89.4	aflp	0
kl2004-1	LG-01	0	231.6	kl2004-1-41	txa3257		19.8	19.8	aflp	0
