Marker	Mean
1	txs333	0
2	txp456	2
3	txp496	2
4	txp494	4.2
5	txp457	4.4
6	umc121	5.25
7	txp266	6.1
8	txp228	6.3
9	txs1178	6.3
10	txs31	6.3
11	txp518	6.5
12	txp492	11.1
13	umc124	20.8
14	txs1092	24.6
15	txp489	29.55
16	txp451	29.55
17	txp452	30.2
18	txp215	30.7
19	txp9	31.7
20	txp488	31.7
21	txp423	34.1
22	txs1053	38.4
23	txs578	47.15
24	txp500	47.15
25	isu148	48.9
26	txs503	51.5
27	rz244	56.25
28	txp461	56.25
29	txs1438	56.25
30	umc10	56.25
31	txs1162	56.25
32	cdo920	57.9
33	msbcir224	61.3
34	txp33	61.3
35	gap236	62.8
36	isu114	65.1
37	txp205	68.1
38	txp31	71.1
39	txp336	73.15
40	txp183	75.2
41	msbcir276	76.3
42	txp444	80.2
43	txs584	85.4
44	txp503	87.5
45	umc63	87.8
46	txp120	88.35
47	umc93	88.35
48	txp435	89.2
49	txp514	90.45
50	txp512	90.45
51	txp2	91.7
52	cdo1160	98.9
53	txp231	101.05
54	txp436	101.05
55	txp59	103.2
56	bcd828	110.2
57	cdo470	110.85
58	txp218	110.85
59	txs1175	110.85
60	umc16	110.85
61	umc17	110.85
62	isu121	111.5
63	msbcir314	112
64	txp114	113.65
65	txp437	115.8
66	sbage01	123.6
67	txs1927	126
68	txs422	126
69	txp438	127.1
70	txp440	127.1
71	txp441	128.15
72	bcd738	129
73	txp446	131.5
74	stgnhsbm17	132.8
75	isu166	134.5
76	txp447	134.95
77	txs1226	135.4
78	msbcir225	136
79	txp285	136.6
80	txp421	137.4
81	txp38	138.05
82	txp448	138.7
83	txp449	140.1
84	txp422	140.75
85	txp420	141.4
86	txp34	147.8
87	txp424	148.85
88	altsb	152
89	cup32	153.7
90	txp69	160.15
91	txp425	162.1
92	txp426	164.2
