feature_name	Bridge	map_name	cM	feature_start	Type	Multicopy	
isu062	no	1	0	0	RFLP		
sPb-4544	no	1	0	0	DArT		
cup58	no	1	0-3.3	1.65	SSR		
M341012	no	1	0-3.3	1.65	DArT		
txp541	no	1	1.65-1.8	1.73	SSR		
txp497	no	1	1.65-1.8	1.73	SSR		
sPb-1040	no	1	1.8	1.8	DArT		
Xsbarslbk1.01	no	1	1.73-2.6	2.2	SSR		
txp138	no	1	1.8-3.3	2.6	SSR		
M188427	no	1	3.3	3.3	DArT		
M188703	no	1	3.3-5	4.15	DArT		
sPb-4448	no	1	3.3-5	4.15	DArT		
M188394	no	1	3.3-5	4.15	DArT		
M342886	no	1	3.3-5	4.15	DArT		
M340875	no	1	3.3-5	4.15	DArT		
sPb-7015	no	1	0-10	5	DArT	x	Maps to SBI-02 (223cM) in S4
Sb-ids1	no	1	5.9	5.9	gene		
cdo457	no	1	6.5	6.5	RFLP		
sPb-3635	no	1	5-9.6	7.3	DArT		
sPb-1435	no	1	5-9.6	7.3	DArT		
sPb-5160	no	1	5-9.6	7.3	DArT		
bnl6.25	no	1	6.5-9.6	8.05	RFLP		
isu070	no	1	9.6	9.6	RFLP		
sPb-8325	no	1	9.6	9.6	DArT		
sPb-8009	no	1	9.6	9.6	DArT		
txp68	no	1	9.6	9.6	SSR		
umc84	Bridge	1	9.6	9.6	RFLP		
txp78	no	1	9.6	9.6	SSR	x	
sPb-0939	no	1	9.6	9.6	DArT	x	Maps to SBI-10 (132cM) in S2
psb0041	no	1	9.6	9.6	RFLP		
cup01	no	1	9.6	9.6	SSR		
sPb-6018	no	1	9.6	9.6	DArT		
M341999	no	1	9.6	9.6	DArT		
M341883	no	1	9.6	9.6	DArT		
M341957	no	1	9.6	9.6	DArT		
psb0102	no	1	9.6	9.6	RFLP		
sPb-4492	no	1	9.6	9.6	DArT		
sPb-6160	no	1	9.6	9.6	DArT		
sPb-5611	no	1	9.6	9.6	DArT		
sPb-8237	no	1	9.6	9.6	DArT	x	
sPb-5668	no	1	9.6	9.6	DArT		
Xsbarslbk1.04	no	1	9.6-13	11.3	SSR		
