feature_name	feature_start
1	txs333	0
2	txp456	2
3	txp496	2
4	spb0965	4.2
5	txp494	4.2
6	txp457	4.4
7	umc121	5.25
8	txp266	6.1
9	txp228	6.3
10	txs1178	6.3
11	txs31	6.3
12	txp518	6.5
13	txp492	11.1
14	spb2461	20.6
15	umc124	20.8
16	spb3940	21.2
17	spb5491	21.9
18	txs1092	24.6
19	txp489	29.55
20	txp451	29.55
21	txp452	30.2
22	txp215	30.7
23	spb1012	31.7
24	txp9	31.7
25	txp488	31.7
26	txp423	34.1
27	spb6553	34.1
28	txs1053	38.4
29	sscir165	38.5
30	spb6690	42
31	spb2562	47.15
32	txs578	47.15
33	txp500	47.15
34	isu148	48.9
35	spb9076	51.3
36	txs503	51.5
37	rz244	56.25
38	txp461	56.25
39	txs1438	56.25
40	umc10	56.25
41	txs1162	56.25
42	spb5946	57.05
43	spb9135	57.9
44	cdo920	57.9
45	spb7675	58.3
46	msbcir224	61.3
47	txp33	61.3
48	gap236	62.8
49	csu36	63.4
50	isu114	65.1
51	txp205	68.1
52	csu58	70
53	spb0357	70.6
54	txp31	71.1
55	txp336	73.15
56	txp183	75.2
57	msbcir276	76.3
58	spb5300	80
59	txp444	80.2
60	txs584	85.4
61	txp503	87.5
62	umc63	87.8
63	r	87.9
64	txp120	88.35
65	umc93	88.35
66	txp435	89.2
67	txp514	90.45
68	txp512	90.45
69	txp2	91.7
70	cdo1160	98.9
71	txp231	101.05
72	txp436	101.05
73	txp59	103.2
74	txs307	106.7
75	wg889	107.5
76	bcd828	110.2
77	cdo470	110.85
78	txp218	110.85
79	txs1175	110.85
80	umc16	110.85
81	umc17	110.85
82	isu121	111.5
83	msbcir314	112
84	spb9139	112
85	txp114	113.65
86	txp437	115.8
87	spb1725	116.5
88	spb3153	119.1
89	spb0687	119.1
90	sbage01	123.6
91	spb0038	124
92	txs1927	126
93	txs422	126
94	txp438	127.1
95	txp440	127.1
96	bnl1520	128.15
97	txp441	128.15
98	csu96	128.15
99	bcd738	129
100	txp446	131.5
101	stgnhsbm17	132.8
102	isu166	134.5
103	txp447	134.95
104	txs1226	135.4
105	msbcir225	136
106	txp285	136.6
107	txp421	137.4
108	txp38	138.05
109	txp448	138.7
110	txp449	140.1
111	txp422	140.75
112	txp420	141.4
113	txs301	144
114	spb4629	144.9
115	txp34	147.8
116	txp424	148.85
117	bnl537	149.1
118	altsb	152
119	cup32	153.7
120	txs1075	154.6
121	spb0208	156
122	txp69	160.15
123	txp425	162.1
124	txp426	164.2
