map_acc	map_name	map_start	map_stop	feature_acc	feature_name	feature_aliases	feature_start	feature_stop	feature_type_acc	is_landmark
patt2003-1	A	0	130.1	patt2003-1-0	CSU482	CSU482E5,p-csu482	0	0	rflp	0
patt2003-1	A	0	130.1	patt2003-1-40	UMC103	48584576,UMC103E3,p-umc103,umc103a,umc103b,umc103c	34.7	34.7	rflp	0
patt2003-1	A	0	130.1	patt2003-1-132	CDO0226b	CDO0226,CDO0226a,CDO0226aBiE3,CDO0226aPRE3,CDO0226bE3,CDO0226c,CDO226,CDO226a,CDO226aBiE3,CDO226aPRE3,CDO226b,CDO226bE3,CDO226c	60	60	rflp	0
patt2003-1	A	0	130.1	patt2003-1-148	UMC152	48586073,UMC152E3,p-umc152,umc152a,umc152b,umc152c	61.6	61.6	rflp	0
patt2003-1	A	0	130.1	patt2003-1-200	UMC016a	48584557,UMC016,UMC016aE3,UMC016b,UMC016bE3,UMC16,UMC16aE3,UMC16b,UMC16bE3,Xumc16,p-umc16,umc16a,umc16c,umc16d	72.4	72.4	rflp	0
patt2003-1	A	0	130.1	patt2003-1-218	UMC040	48585505,UMC040E5,UMC40,UMC40E5,Xumc40.2,p-umc40	82.4	82.4	rflp	0
patt2003-1	A	0	130.1	patt2003-1-289	CSU344	CSU344aE5,p-csu344	112.4	112.4	rflp	0
patt2003-1	A	0	130.1	patt2003-1-308	UMC071	48586788,UMC071E5,UMC71,UMC71E5,p-umc71,umc71a,umc71b	120.1	120.1	rflp	0
patt2003-1	A	0	130.1	patt2003-1-1	BCD0926b	BCD0926,BCD0926a,BCD0926aE5,BCD0926bE5,BCD926,BCD926aE5,BCD926bE5,Xbcd926,Xbcd926-5A,bcd926a,bcd926b	0.8	0.8	rflp	0
patt2003-1	A	0	130.1	patt2003-1-2	CDSR018a	CDSR018,CDSR018aE5,CDSR018b	2.3	2.3	rflp	0
patt2003-1	A	0	130.1	patt2003-1-3	UMC032a	48584100,UMC032,UMC032aE6,UMC032b,UMC032bE6,UMC32,UMC32aE6,UMC32bE6,p-phi049,p-umc32,umc32a,umc32a.A,umc32b,umc32c,umc32d(cgn),umc32e,umc32g,umc32h	2.3	2.3	rflp	0
patt2003-1	A	0	130.1	patt2003-1-5	pPAP07D12	pPAP07D12E6	3.8	3.8	rflp	0
patt2003-1	A	0	130.1	patt2003-1-6	HHU33	HHU33E3OK,Xhhu33	3.8	3.8	rflp	0
patt2003-1	A	0	130.1	patt2003-1-8	HHUK29	HHUK29E5,SbRLK6	6.2	6.2	rflp	0
patt2003-1	A	0	130.1	patt2003-1-9	pSB0129	pSB0129QE5	6.2	6.2	rflp	0
patt2003-1	A	0	130.1	patt2003-1-10	pSB1718	pSB1718E3	9.2	9.2	rflp	0
patt2003-1	A	0	130.1	patt2003-1-11	pSB1287	pSB1287E6	9.2	9.2	rflp	0
patt2003-1	A	0	130.1	patt2003-1-12	pSB0068	pSB0068E5	9.2	9.2	rflp	0
patt2003-1	A	0	130.1	patt2003-1-13	pSB1432	pSB1432E3	10.8	10.8	rflp	0
patt2003-1	A	0	130.1	patt2003-1-14	pSB0443a	pSB0443,pSB0443aQE5,pSB0443b,pSB0443cE5	10.8	10.8	rflp	0
patt2003-1	A	0	130.1	patt2003-1-15	pSB1342	pSB1342E3	10.8	10.8	rflp	0
patt2003-1	A	0	130.1	patt2003-1-16	pSB1889	pSB1889E3	11.5	11.5	rflp	0
patt2003-1	A	0	130.1	patt2003-1-17	pPAP09D04	pPAP09D04E5	12.3	12.3	rflp	0
patt2003-1	A	0	130.1	patt2003-1-18	pSB0581	pSB0581E5	15.4	15.4	rflp	0
patt2003-1	A	0	130.1	patt2003-1-19	pSB1652	pSB1652E3	20	20	rflp	0
patt2003-1	A	0	130.1	patt2003-1-20	CSU016	48586016,CSU016E3,CSU16,CSU16E3,csu16b,csu16c,csuh00016,me3,p-csu16	20	20	rflp	0
patt2003-1	A	0	130.1	patt2003-1-21	HHU03	HHU03E3OK,HHU3	20	20	rflp	0
patt2003-1	A	0	130.1	patt2003-1-22	pSHR0186.3a	pSHR0186.3,pSHR0186.3aE5,pSHR0186.3b,pSHR0186.3bE5	21.6	21.6	rflp	0
patt2003-1	A	0	130.1	patt2003-1-23	pSB1661	pSB1661E5	21.6	21.6	rflp	0
patt2003-1	A	0	130.1	patt2003-1-24	pSB1306b	pSB1306,pSB1306a,pSB1306aE5,pSB1306bE5	21.6	21.6	rflp	0
patt2003-1	A	0	130.1	patt2003-1-25	pSHR0033		23.1	23.1	rflp	0
patt2003-1	A	0	130.1	patt2003-1-26	CDO0328	CDO0328E5,CDO328,CDO328E5,Xcdo328,Xcdo328-3B	23.1	23.1	rflp	0
patt2003-1	A	0	130.1	patt2003-1-27	pSB1462	pSB1462E6	23.1	23.1	rflp	0
patt2003-1	A	0	130.1	patt2003-1-28	pSB1323	pSB1323bE6	23.1	23.1	rflp	0
patt2003-1	A	0	130.1	patt2003-1-29	pSB1409b	pSB1409,pSB1409a,pSB1409aE3,pSB1409bE3	23.1	23.1	rflp	0
patt2003-1	A	0	130.1	patt2003-1-30	pPAP07H07a	pPAP07H07,pPAP07H07BiE3a,pPAP07H07E3b,pPAP07H07E3d,pPAP07H07b,pPAP07H07c	23.9	23.9	rflp	0
patt2003-1	A	0	130.1	patt2003-1-31	pRC0241	PRC0241E3	24.6	24.6	rflp	0
patt2003-1	A	0	130.1	patt2003-1-32	pSHR0158.1		24.6	24.6	rflp	0
patt2003-1	A	0	130.1	patt2003-1-33	pSB1368	pSB1368E5	29.3	29.3	rflp	0
patt2003-1	A	0	130.1	patt2003-1-34	pSB0311	pSB0311E6	29.3	29.3	rflp	0
patt2003-1	A	0	130.1	patt2003-1-36	pSB0739	pSB0739E5	30.8	30.8	rflp	0
patt2003-1	A	0	130.1	patt2003-1-38	AEST045	AEST045E5,T047371	32.3	32.3	rflp	0
patt2003-1	A	0	130.1	patt2003-1-39	pPAP01C03	pPAP01C03E5	33.1	33.1	rflp	0
patt2003-1	A	0	130.1	patt2003-1-41	pSB0017	pSB0017E5	34.7	34.7	rflp	0
patt2003-1	A	0	130.1	patt2003-1-42	pSB0688	pSB0688E5	34.7	34.7	rflp	0
patt2003-1	A	0	130.1	patt2003-1-43	pSB1157	pSB1157E6	34.7	34.7	rflp	0
patt2003-1	A	0	130.1	patt2003-1-45	HHU61	HHU61E6	35.4	35.4	rflp	0
patt2003-1	A	0	130.1	patt2003-1-46	CDSB62	CDSB62E3	35.4	35.4	rflp	0
patt2003-1	A	0	130.1	patt2003-1-47	CSU585	48584748,csuh00585,p-csu585	35.4	35.4	rflp	0
patt2003-1	A	0	130.1	patt2003-1-48	PRC0144a	PRC0144E5a,PRC0144E5b,PRC0144b,pRC0144	35.4	35.4	rflp	0
patt2003-1	A	0	130.1	patt2003-1-49	pRC0167	PRC0167E5	35.4	35.4	rflp	0
patt2003-1	A	0	130.1	patt2003-1-50	pRC1142	PRC1142E5	35.4	35.4	rflp	0
patt2003-1	A	0	130.1	patt2003-1-52	pSB0024b	pSB0024,pSB0024a,pSB0024aE5,pSB0024bE5	37	37	rflp	0
patt2003-1	A	0	130.1	patt2003-1-53	pSB0350	pSB0350QE6	37	37	rflp	0
patt2003-1	A	0	130.1	patt2003-1-54	CSU532	CSU532bE3,csuh00532,p-csu532	39.3	39.3	rflp	0
patt2003-1	A	0	130.1	patt2003-1-55	G0107	G0107E3,G107,XNpb107	40	40	rflp	0
