"map_acc"	"map_name"	"map_start"	"map_stop"	"feature_acc"	"feature_name"	"feature_aliases"	"feature_start"	"feature_stop"	"feature_type_acc"	"is_landmark"
"1"	"mac2010a-1"	"1"	"0"	"191.8"	"mac2010a-1-isu62"	"ISU62"	"48585280,ISU62A,ISU62B"	"0"	"0"	"rflp"	"0"
"2"	"mac2010a-1"	"1"	"0"	"191.8"	"mac2010a-1-sPb-1040"	"sPb-1040"	""	"1.8"	"1.8"	"dart"	"0"
"3"	"mac2010a-1"	"1"	"0"	"191.8"	"mac2010a-1-M188427"	"M188427"	""	"3.3"	"3.3"	"dart"	"0"
"4"	"mac2010a-1"	"1"	"0"	"191.8"	"mac2010a-1-sPb-7015"	"sPb-7015"	""	"0"	"10"	"dart"	"0"
"5"	"mac2010a-1"	"1"	"0"	"191.8"	"mac2010a-1-cdo457"	"CDO457"	"CDO457_WHE2G0101,CDO457_WHE2G0102,Xcdo457,Xcdo457-5A,Xcdo457A,cdo457a,cdo457b,p-cdo457"	"6.5"	"6.5"	"rflp"	"0"
"6"	"mac2010a-1"	"1"	"0"	"191.8"	"mac2010a-1-bnl6.25"	"bnl6.25"	"48585305,bnl6.25a,bnl6.25b,p-bnl6.25"	"6.5"	"9.6"	"rflp"	"0"
"7"	"mac2010a-1"	"1"	"0"	"191.8"	"mac2010a-1-isu70"	"isu70"	""	"9.6"	"9.6"	"rflp"	"0"
"8"	"mac2010a-1"	"1"	"0"	"191.8"	"mac2010a-1-sPb-8325"	"sPb-8325"	""	"9.6"	"9.6"	"dart"	"0"
"9"	"mac2010a-1"	"1"	"0"	"191.8"	"mac2010a-1-umc84"	"UMC84"	"48583421,UMC084,p-umc84,umc84a,umc84b,umc84c"	"9.6"	"9.6"	"rflp"	"0"
"10"	"mac2010a-1"	"1"	"0"	"191.8"	"mac2010a-1-txp78"	"txp78"	""	"9.6"	"9.6"	"ssr"	"0"
"11"	"mac2010a-1"	"1"	"0"	"191.8"	"mac2010a-1-sPb-0939"	"sPb-0939"	""	"9.6"	"9.6"	"dart"	"0"
"12"	"mac2010a-1"	"1"	"0"	"191.8"	"mac2010a-1-sPb-4492"	"sPb-4492"	""	"9.6"	"9.6"	"dart"	"0"
"13"	"mac2010a-1"	"1"	"0"	"191.8"	"mac2010a-1-sPb-6160"	"sPb-6160"	""	"9.6"	"9.6"	"dart"	"0"
"14"	"mac2010a-1"	"1"	"0"	"191.8"	"mac2010a-1-sPb-5611"	"sPb-5611"	""	"9.6"	"9.6"	"dart"	"0"
"15"	"mac2010a-1"	"1"	"0"	"191.8"	"mac2010a-1-sPb-8237"	"sPb-8237"	""	"9.6"	"9.6"	"dart"	"0"
"16"	"mac2010a-1"	"1"	"0"	"191.8"	"mac2010a-1-sPb-5668"	"sPb-5668"	""	"9.6"	"9.6"	"dart"	"0"
"17"	"mac2010a-1"	"1"	"0"	"191.8"	"mac2010a-1-sPb-0602"	"sPb-0602"	""	"9.6"	"13"	"dart"	"0"
"18"	"mac2010a-1"	"1"	"0"	"191.8"	"mac2010a-1-sPb-1524"	"sPb-1524"	""	"9.6"	"13"	"dart"	"0"
"19"	"mac2010a-1"	"1"	"0"	"191.8"	"mac2010a-1-ST1380"	"ST1380"	""	"9.6"	"13"	"rflp"	"0"
"20"	"mac2010a-1"	"1"	"0"	"191.8"	"mac2010a-1-sPb-6144"	"sPb-6144"	""	"9.6"	"13"	"dart"	"0"
"21"	"mac2010a-1"	"1"	"0"	"191.8"	"mac2010a-1-sPb-5015"	"sPb-5015"	""	"9.6"	"13"	"dart"	"0"
"22"	"mac2010a-1"	"1"	"0"	"191.8"	"mac2010a-1-sPb-8773"	"sPb-8773"	""	"9.6"	"13"	"dart"	"0"
"23"	"mac2010a-1"	"1"	"0"	"191.8"	"mac2010a-1-umc161"	"umc161"	"48583015,48583377,CSU061,CSU061E5,CSU61,CSU61E5,csu61a,csu61b,csu61c,csuh00061,p-csu61,p-umc161,p-umc161b,umc161a,umc161b,umc161c,umc342"	"13"	"13"	"rflp"	"0"
"24"	"mac2010a-1"	"1"	"0"	"191.8"	"mac2010a-1-gap256"	"gap256"	""	"13.8"	"14.5"	"ssr"	"0"
"25"	"mac2010a-1"	"1"	"0"	"191.8"	"mac2010a-1-gap42"	"gap42"	""	"13.8"	"14.5"	"ssr"	"0"
"26"	"mac2010a-1"	"1"	"0"	"191.8"	"mac2010a-1-sPb-6201"	"sPb-6201"	""	"13.8"	"15.2"	"dart"	"0"
"27"	"mac2010a-1"	"1"	"0"	"191.8"	"mac2010a-1-sPb-2583"	"sPb-2583"	""	"13.8"	"15.2"	"dart"	"0"
"28"	"mac2010a-1"	"1"	"0"	"191.8"	"mac2010a-1-sPb-0623"	"sPb-0623"	""	"13.8"	"15.2"	"dart"	"0"
"29"	"mac2010a-1"	"1"	"0"	"191.8"	"mac2010a-1-sPb-5521"	"sPb-5521"	""	"13.8"	"15.2"	"dart"	"0"
"30"	"mac2010a-1"	"1"	"0"	"191.8"	"mac2010a-1-txp208"	"txp208"	"txp208(01)"	"13.8"	"15.2"	"ssr"	"0"
"31"	"mac2010a-1"	"1"	"0"	"191.8"	"mac2010a-1-umc147"	"UMC147"	"48583369,p-umc147,umc147a,umc147b"	"14.5"	"14.5"	"rflp"	"0"
"32"	"mac2010a-1"	"1"	"0"	"191.8"	"mac2010a-1-phyC"	"phyC"	"GR:1400007,Phytochrome C"	"14.5"	"15.3"	"gene"	"0"
"33"	"mac2010a-1"	"1"	"0"	"191.8"	"mac2010a-1-SbRPG837"	"SbRPG837"	""	"15.2"	"15.2"	"rflp"	"0"
