MQTL	markers	Physical Map Position
1	txs1075	NA
1	umc27	NA
1	psb0611	NA
2	psb0611	NA
2	tsc528	NA
2	umc128	NA
2	umc166	NA
3	hhu506	NA
3	gap206	59.1622
3	12/47-324	NA
3	11/60-132	NA
3	txs645	NA
3	gpsb89	NA
4	12/47-238	NA
4	txs361	NA
4	11/60-89	NA
4	txp43	NA
4	hhu504	NA
4	txp329	50.1325
4	dsenhsbm66	NA
4	txp149	50.7111
4	txp88	NA
5	txp88	NA
5	isep1028	52.0574
5	txs1573	NA
5	txs1537	NA
5	r2500	NA
5	psb0033	NA
5	sscir124	NA
5	bcd454	NA
5	psb33	NA
5	txp11	NA
5	cdo20	NA
5	txp32	NA
5	rz323.1	NA
6	st37	NA
6	st1847	NA
6	ts61	NA
6	12/47-104	NA
6	txs1129	NA
6	ts122	NA
6	isu41	NA
6	isu044	NA
6	s16584	NA
6	mb657	NA
6	st1595	NA
6	psb0050	NA
6	txs1225	NA
6	isp237	NA
6	msbcir286	57.4528
7	sscir90	NA
7	txp61	NA
7	bnl1428	NA
7	csu111	NA
7	st1421	NA
7	st1916	NA
7	txs1625	NA
8	sbagh04	NA
8	txp25	NA
8	txp297	4.2369
8	txp80	NA
8	msbcir223	4.6574
8	txp50	NA
8	txp84	NA
8	psb498	NA
8	psb541	NA
8	txp211	4.9948
8	csu13	NA
9	umc5	NA
9	cd059	NA
9	txs1307	NA
9	txp56	NA
9	umc116	NA
9	14/61-115	NA
9	isp336	NA
9	gap84	NA
9	13/61-259	NA
10	isp336	NA
10	gap84	NA
10	13/61-259	NA
10	txp286	NA
10	isu117	NA
10	txs284	NA
10	txp179	NA
10	bcd1	NA
11	rz404	NA
11	st336	NA
11	st1155	NA
11	st1878	NA
11	psb0266	NA
11	cdo385	NA
11	txp315	NA
11	txs360	NA
11	st1537	NA
11	sscir51	NA
11	txp429	68.854
11	txs1925	NA
11	isp259	NA
11	txp428	68.3931
11	txs443	NA
11	umc4	NA
12	psb0077	NA
12	umc149	NA
12	txp7	NA
12	cup26	70.2585
12	csu37ab	NA
12	isep841	NA
12	txp207	70.2559
12	st140	NA
12	umc254	NA
12	txs1143	NA
12	txp296	71.1131
12	txs1845	NA
12	psr107	NA
12	umc125	NA
13	psr107	NA
13	umc125	NA
13	st499	NA
13	umc122	NA
13	bnl837	NA
14	spb2461	NA
14	bcd1823/st550	NA
14	txs1163a	NA
14	txs1287	NA
14	isp239	NA
14	txs1092	NA
14	txp489	6.1099
15	msbcir238	14.7465
15	isu151	NA
15	csu63	NA
15	txs1162	NA
15	txp283	NA
15	txp201	NA
15	cup74	40.5307
15	txp3	NA
15	txp55	NA
15	txp72	NA
15	txs1433	NA
15	rz413	NA
15	csu81	NA
15	txp19	NA
16	txp298	57.081
16	isp280	NA
16	hhu513	NA
16	txs1057	NA
16	txs1247	NA
17	txs1057	NA
17	txs1247	NA
17	sbagb03	58.128
17	umc139	NA
17	bnl15.40	NA
18	psb0487	NA
18	drenhsbm32	NA
18	umc136	NA
18	cup29	60.4534
18	txp445	60.4532
18	txp430	61.0898
18	cb926473	NA
18	txs1111	NA
18	msbcir339	60.1904
18	ts136	NA
18	txp1	NA
18	umc5	NA
18	cd059	NA
18	txs1307	NA
18	txp56	NA
19	isp336	NA
19	gap84	NA
19	13/61-259	NA
19	txp286	NA
19	isu117	NA
19	txs284	NA
20	txp179	NA
20	bcd1	NA
20	txp348	NA
20	st476	NA
20	mb6_84	NA
20	psb0075	NA
21	txp429	68.854
21	txs1925	NA
21	isp259	NA
21	txp428	68.3931
21	txs443	NA
21	umc4	NA
21	st109	NA
21	txs1855	NA
21	cdo59	NA
21	txp100	NA
21	psb0077	NA
21	umc149	NA
22	cup23	4.2567
22	isp230	NA
22	gpsb50	NA
22	txp26	NA
22	msbcir323	6.6496
23	13/59-145	NA
23	cup28	51.2496
23	dnhsbm43	NA
23	spb9995	NA
23	spb9303	NA
24	csu166	NA
24	txp15	NA
24	txp14	NA
24	rcb	NA
24	txp299	NA
24	tx387	NA
25	gpsb114	6.3139
25	psb0784	NA
25	isu38	NA
25	isep328	NA
26	psb758	NA
26	txp295	61.172
26	psb0491	NA
27	spb2021	NA
27	spb8081	NA
27	14/60-282	NA
27	spb7808	NA
27	spb5746	NA
27	umc18	NA
27	txs1379	NA
27	spb4767	NA
27	txs1440	NA
28	txp105	52.2819
28	txs1294	NA
28	14/48-64	NA
28	spb5572	NA
29	st34	NA
29	txs1628	NA
29	txp324	45.0905
29	txs654.2	NA
29	st1886	NA
29	psb517.1	NA
29	txs943	NA
29	txs1541	NA
29	txs1383	NA
29	txp10	NA
29	st368	NA
30	umc38	NA
30	gpsb079	54.0084
30	txp107	57.913
31	txs236	NA
31	umc218	NA
31	txs1684	NA
31	msbcir262	55.3239
31	msbcir227	55.7807
31	txs1694	NA
31	spb7058	NA
31	spb6370	NA
32	spb7058	NA
32	spb6370	NA
32	txp141	58.2451
32	txs758	NA
32	isu048	NA
32	psb115	NA
32	cup43	59.7804
32	psb0115	NA
32	rz516	NA
32	spb1655	NA
32	spb2186	NA
32	txs1628	NA
32	isu162	NA
32	txs664	NA
32	spb1222	NA
32	cup07	60.5691
32	st972	NA
