Sr no	Locus name	Minimum	Maximum	Product	Chromosome	Physical Map Position	Component SSRs	Overlaps	Duplicates
1	Xiabtp062	69229	69402	173	1	0.0692		Overlap with SB0001	
2	SB0001	69285	69469	184	1	0.0693		Overlap with Xiabtp062	
3	SB0002	81629	81908	279	1	0.0816			
4	SB0004	155934	156210	276	1	0.1559			
5	SB0005	157848	158070	222	1	0.1578			
6	Xiabtp401	162120	162395	275	1	0.1621			
7	SB0006	162750	162973	223	1	0.1628			
8	SB0007	173640	173800	160	1	0.1736			
9	SB0008	213586	213774	188	1	0.2136			
10	SB0009	261290	261568	278	1	0.2613			
11	SB0010	262673	262934	261	1	0.2627			
12	Xcup58	264642	264809	167	1	0.2646			
13	SB0011	283267	283532	265	1	0.2833		Overlap with Xiabtp271	
14	Xiabtp271	283334	283528	194	1	0.2833		Overlap with SB0011	
15	SB0012	299292	299476	184	1	0.2993			
16	SB0013	317114	317308	194	1	0.3171			
17	SB0014	341728	342006	278	1	0.3417			
18	SB0015	360378	360661	283	1	0.3604			
19	SB0016	361525	361775	250	1	0.3615			
20	SB0017	411806	411907	101	1	0.4118			
21	Xiabtp061	414479	414748	269	1	0.4145		Overlap with SB0018	
22	SB0018	414654	414906	252	1	0.4147		Overlap with Xiabtp061	
23	SB0019	415180	415468	288	1	0.4152			
24	SB0020	415651	415900	249	1	0.4157			
25	SB0021	427205	427473	268	1	0.4272			
26	SB0022	428891	429186	295	1	0.4289			
27	SB0024	445862	446049	187	1	0.4459			
28	SB0025	451128	451377	249	1	0.4511			
29	SB0026	462005	462280	275	1	0.4620			
30	SB0027	463707	463950	243	1	0.4637			
31	SB0028	532217	532335	118	1	0.5322			
32	SB0031	748186	748348	162	1	0.7482			
33	Xtxp497	750352	750530	178	1	0.7504		Overlap with Xiabtp442	Same as Xiabtp442
34	Xiabtp442	750352	750530	178	1	0.7504		Overlap with Xtxp497	Same as Xtxp497
35	SB0032	777507	777713	206	1	0.7775			
36	SB0034	795606	795727	121	1	0.7956			
37	SB0035	835193	835366	173	1	0.8352			
38	SB0036	922043	922244	201	1	0.9220			
39	SB0037	1011067	1011296	229	1	1.0111			
40	SB0038	1025890	1026163	273	1	1.0259			
41	SB0039	1038818	1038965	147	1	1.0388			
42	Xiabtp243	1059015	1059253	238	1	1.0590	SSR segment included in SB0040	Overlap with SB0040	
43	SB0040	1059074	1059365	291	1	1.0591	2 SSRs including that detected by Xiabtp243	Overlap with Xiabtp243	
44	>SbCYP79	1132768	1133806	1038	1	1.1328			
45	Xisep0248	1163043	1163251	208	1	1.1630			
46	SB0041	1178829	1179125	296	1	1.1788			
