Locus.name	Physical.Map.Position
1	iabtp062	0.0692
2	iabtp401	0.1621
3	cup58	0.2646
4	iabtp271	0.2833
5	iabtp061	0.4145
6	txp497	0.7504
7	iabtp442	0.7504
8	iabtp243	1.059
9	>SbCYP79	1.1328
10	isep0248	1.163
11	iabtp186	1.2757
12	iabtp342	1.3132
13	isep0338	1.8197
14	isep0346	1.9919
15	isep0341	2.1613
16	iabtp352	2.2443
17	isep0335	2.3199
18	iabtp414	2.5845
19	iabtp404	2.7312
20	cup01	3.0814
21	iabtp066	3.2967
22	isep0838	3.5715
23	iabtp303	3.5816
24	iabtp514	3.8178
25	>Bx1	4.2475
26	isep0839	4.4383
27	isep0337	4.8801
28	iabtp037	5.0821
29	isep0343	5.2386
30	isep0949	5.373
31	iabtp255	5.373
32	gap256	5.4306
33	isep0350	6.2661
34	isep0336	6.4895
35	iabtp278	6.5457
36	txp071(Mads)	6.7004
37	txp079(Mads)	6.7005
38	txp213	6.7005
39	>HvVRN-H	6.7147
40	>AsVRN1	6.7148
41	>SbPhyC	6.7654
42	isep0322	6.7892
43	isep0327	6.7893
44	SRSC3_007	6.9001
45	iabtp288	6.9579
46	txp350	7.0208
47	txp325(Kaf)	7.0209
48	iabtp311	7.0561
49	SRSC3_010	7.0748
50	isep0340	7.3214
51	iabtp409	7.3483
52	cup06	7.3556
53	>Sb_adh1	7.5426
54	iabtp177	7.6202
55	cup08	7.707
56	cup27	7.8582
57	txp523	8.0171
58	iabtp485	8.545
59	mSbCIR347	8.6022
60	mSbCIR268	8.6553
61	>SbPhyA	8.7549
62	SRSC3_012	8.9803
63	txp302	9.048
64	SRSC1_005	9.0586
65	txp482	9.5074
66	mSbCIR242	9.6602
67	mSbCIR228	10.4899
68	isep0339	10.63
69	iabtp155	11.1096
70	isep0330	11.3627
71	iabtp413	11.5376
72	isep0728	12.1748
73	SRSC3_008	12.4651
74	iabtp501	12.7211
75	cup33	13.5577
76	cup24	13.9567
77	iabtp457	14.1
78	iabtp445	14.2532
79	iabtp221	14.6342
80	iabtp355	14.8861
81	SRSC3_004	15.0427
82	cup73	15.2194
83	cup25	16.6858
84	iabtp358	16.8051
85	isep1033	17.2557
86	PRSC10_069	17.8737
87	SRSC10_022	17.9917
88	iabtp300	18.2728
89	isep1026	18.7871
90	SRSC10_015	18.8071
91	SRSC10_019	18.9799
92	SRSC10_006	19.0511
93	isep1038	19.7242
94	isep1025	19.7248
95	SRSC10_017	20.1887
96	SRSC10_011	20.7547
97	SRSC10_024	20.8041
98	iabtp328	21.6217
99	>OsEhd1	21.9246
100	isep1213	22.3342
101	iabtp329	23.8061
102	txp357	23.8062
103	mSbCIR243	24.1886
104	isep0504	24.7743
105	iabtp053	24.7744
106	SRSC10_021	25.6468
107	isep1003	26.3901
108	iabtp191	26.612
109	isep1005	26.6122
110	isep1039	27.4972
111	SRSC10_020	27.6734
112	iabtp090	28.1827
113	isep1002	30.0438
114	isep1004	31.7565
115	iabtp467	32.495
116	iabtp052	32.4955
117	SRSC10_008	40.667
118	gpsb089	43.8839
119	iabtp021	44.5623
120	SRSC10_004	45.0526
121	isep0421	48.0425
122	iabtp087	48.4172
123	iabtp056	49.3483
124	SRSC10_023	50.114
125	SRSC10_010	50.1261
126	txp329	50.1325
127	isep1046	50.2494
128	txp043	50.2677
129	PRSC10_066	50.4967
130	iabtp034	50.5792
131	iabtp450	50.6725
132	txp088	50.7095
133	txp149	50.7111
134	iabtp054	50.9565
135	isep1035	51.068
136	iabtp173	51.3748
137	SRSC10_001	51.8785
138	isep1024	52.0566
139	isep1028	52.0574
140	SRSC10_005	52.3683
141	iabtp085	52.4544
142	txp011	53.021
143	isep1034	53.5881
144	isep0735	54.4261
145	isep0749	54.4742
146	iabtp086	54.4742
147	iabtp121	54.5025
148	isep0321	54.6575
149	txp037	55.1238
150	iabtp040	55.4741
151	txp085	55.7801
152	txp335	55.8123
153	mSbCIR231	55.8123
154	mSbCIR286	57.4528
155	iabtp378	57.7547
156	gap057	58.7813
157	isep0332	58.9059
158	SRSC3_001	60.1542
159	isep1223	60.2315
160	iabtp210	60.3473
161	iabtp135	60.811
162	>SbPhyB	60.9131
163	txp279	61.2114
164	>SbPR-10	61.5645
165	isep0333	61.6495
166	iabtp213	61.9617
167	isep0326	62.0374
168	txp229	62.074
169	iabtp503	62.3919
170	cup60	63.0012
171	isep0334	63.6761
172	gap036	63.8378
173	iabtp451	64.2266
174	mSbCIR336	64.2268
175	isep0302	64.3826
176	iabtp299	64.5457
177	isep0331	64.6474
178	txp522	65.0845
179	txp284	65.1488
180	SRSC3_013	65.7154
181	iabtp179	65.7474
182	iabtp209	65.8571
183	SRSC3_006	66.8465
184	cup44	66.8759
185	isep0309	67.0248
186	iabtp263	67.4291
187	isep0348	68.2072
188	isep0925	68.2136
189	iabtp183	68.51
190	isep0950	68.5585
191	iabtp469	68.5986
192	SRSC3_002	68.6343
193	txp319	68.7417
194	cup62	68.7432
195	iabtp291	68.765
196	txp515	68.8429
197	txp519	68.9408
198	isep0313	69.0751
199	isep0315	69.0951
200	txp340	69.7421
201	cup15	70.9453
202	isep0304	71.0096
203	mSbCIR306	71.0374
204	isep0301	71.4328
205	iabtp262	71.4521
206	txp524	71.476
207	isep0312	71.4812
208	iabtp350	71.5012
209	SRSC3_016	71.9379
210	txp248	72.0325
211	SRSC3_011	72.0551
212	isep0311	72.2956
213	isep0305	72.3333
214	SRSC2_032	72.3857
215	txp316	72.7552
216	txp323	72.7991
217	cup53	72.9053
218	iabtp254	73.0122
