map_acc	map_name	map_start	map_stop	feature_acc	feature_name	feature_aliases	feature_start	feature_stop	feature_type_acc	is_landmark
tamu1104a-ctg1	ctg1	0	195	tamu1104a-ctg1-2	BE598972	9854045,BE598972.1	178	195	est	0
tamu1104a-ctg1	ctg1	0	195	tamu1104a-ctg1-1	AW671043	7534916,AW671043.1	178	195	est	0
tamu1104a-ctg1007	ctg1007	0	74	tamu1104a-ctg1007-2	BM328686	18067823,BM328686.1	1	54	est	0
tamu1104a-ctg1007	ctg1007	0	74	tamu1104a-ctg1007-1	txa5513		9	69	aflp	0
tamu1104a-ctg1007	ctg1007	0	74	tamu1104a-ctg1007-3	txa2756		8	74	aflp	0
tamu1104a-ctg1013	ctg1013	0	85	tamu1104a-ctg1013-2	txp130(10)	txp130	28	53	ssr	0
tamu1104a-ctg1013	ctg1013	0	85	tamu1104a-ctg1013-1	txa6653		14	85	aflp	0
tamu1104a-ctg1016	ctg1016	0	42	tamu1104a-ctg1016-2	AW679358	7553117,AW679358.1	15	42	est	0
tamu1104a-ctg1016	ctg1016	0	42	tamu1104a-ctg1016-1	txa5240		5	23	aflp	0
tamu1104a-ctg1022	ctg1022	0	67	tamu1104a-ctg1022-2	AW680245	7554031,AW680245.1	45	67	est	0
tamu1104a-ctg1022	ctg1022	0	67	tamu1104a-ctg1022-1	txa1634		45	67	aflp	0
tamu1104a-ctg1022	ctg1022	0	67	tamu1104a-ctg1022-3	txa2578		30	65	aflp	0
tamu1104a-ctg1031	ctg1031	0	51	tamu1104a-ctg1031-1	BG462899	13389785,BG462899.1	23	51	est	0
tamu1104a-ctg104	ctg104	0	86	tamu1104a-ctg104-1	BG556494	13585492,BG556494.1	1	53	est	0
tamu1104a-ctg104	ctg104	0	86	tamu1104a-ctg104-2	AW564879	7218757,AW564879.1	1	53	est	0
tamu1104a-ctg104	ctg104	0	86	tamu1104a-ctg104-3	txa5361		1	53	aflp	0
tamu1104a-ctg104	ctg104	0	86	tamu1104a-ctg104-4	txa5881		1	53	aflp	0
tamu1104a-ctg104	ctg104	0	86	tamu1104a-ctg104-6	txa1931		22	46	aflp	0
tamu1104a-ctg104	ctg104	0	86	tamu1104a-ctg104-5	BH245313	16960355,BH245313-3,BH245313.1,pSB0243	31	86	gss	0
tamu1104a-ctg1040	ctg1040	0	51	tamu1104a-ctg1040-1	BG158978	12692642,BG158978.1	9	51	est	0
tamu1104a-ctg1073	ctg1073	0	29	tamu1104a-ctg1073-1	BI099158	14570740,BI099158.1	9	29	est	0
tamu1104a-ctg1073	ctg1073	0	29	tamu1104a-ctg1073-2	txa5685		2	29	aflp	0
tamu1104a-ctg1087	ctg1087	0	82	tamu1104a-ctg1087-1	CD209645	30943948,CD209645.1	46	82	est	0
tamu1104a-ctg1087	ctg1087	0	82	tamu1104a-ctg1087-2	txa3868		33	82	aflp	0
tamu1104a-ctg1096	ctg1096	0	77	tamu1104a-ctg1096-4	BE358320	9299877,BE358320.1	6	31	est	0
tamu1104a-ctg1096	ctg1096	0	77	tamu1104a-ctg1096-14	BG817523	14188503,BG817523.1	6	31	est	0
tamu1104a-ctg1096	ctg1096	0	77	tamu1104a-ctg1096-1	txa4750		6	31	aflp	0
tamu1104a-ctg1096	ctg1096	0	77	tamu1104a-ctg1096-10	txa1526		50	77	aflp	0
tamu1104a-ctg1096	ctg1096	0	77	tamu1104a-ctg1096-13	txa4885		50	73	aflp	0
