start	end	Chr	Wt
28.795	33.785	SBI-01	0.16
45.33	48.45	SBI-01	0.12
69.695	73.925	SBI-01	0.32
78.805	86.495	SBI-01	0.08
90.09	99.81	SBI-01	0.04
125.33	134.23	SBI-01	0.14
179.505	185.915	SBI-01	0.1
16.075	25.025	SBI-02	0.11
111.125	119.135	SBI-02	0.19
120.215	126.305	SBI-02	0.14
138.545	144.235	SBI-02	0.06
153.335	157.125	SBI-02	0.33
160.285	165.535	SBI-02	0.06
32.755	37.965	SBI-03	0.09
66.66	71.44	SBI-03	0.09
81.66	85.62	SBI-03	0.11
88.67	92.13	SBI-03	0.25
103.215	110.725	SBI-03	0.15
118.4	124.86	SBI-03	0.05
130.555	133.465	SBI-03	0.13
143.695	151.645	SBI-03	0.09
38.615	47.885	SBI-04	0.3
110.03	112.35	SBI-04	0.5
47.445	49.735	SBI-05	1
0	0	SBI-06	0
58.895	62.325	SBI-07	0.45
146.595	148.645	SBI-07	0.36
65.895	76.345	SBI-08	0.5
128.15	135.17	SBI-08	0.5
77.69	89.13	SBI-09	0.22
126	126.62	SBI-09	0.78
107.915	117.245	SBI-10	0.36
120.795	133.325	SBI-10	0.31
