MQTL	Chr	Marker	cM	Mb
1	SBI-1	txp302	15.6	9.048
1	SBI-1	umc27	29.1	14.9864895
1	SBI-1	psb0611	37.871470682588	12.9677445
2	SBI-1	psb0611	37.871470682588	12.9677445
2	SBI-1	txp357	54	23.8062
2	SBI-1	isep1038	61.8285326104814	19.7242
3	SBI-1	isep1038	61.8285326104814	19.7242
3	SBI-1	gap206	69.0536342128169	59.1622
3	SBI-1	txp43	81.4	50.267775
4	SBI-1	gap206	69.0536342128169	59.1622
4	SBI-1	txp43	81.4	50.267775
4	SBI-1	txp329	83.7138755245952	50.1325
4	SBI-1	txp149	84.5	50.7111
4	SBI-1	isep1028	90.4566512743964	52.0574
5	SBI-1	txp149	84.5	50.7111
5	SBI-1	isep1028	90.4566512743964	52.0574
5	SBI-1	psb0033	92.9830360547289	58.28967
5	SBI-1	txp11	95.4106665665037	53.0210375
5	SBI-1	txp32	98.2	53.021009
5	SBI-1	txp335	120.5	55.8123
6	SBI-1	txp335	120.5	55.8123
6	SBI-1	s16584	126.903024980117	77.5964685
6	SBI-1	psb0050	133.281482516271	65.225878
6	SBI-1	msbcir286	136.123440466425	57.4528
7	SBI-1	txp284	174.5	65.1488
7	SBI-1	txp61	179.2	66.7500825
7	SBI-1	csu111	182.813460072335	76.4661205
7	SBI-1	cup61	193.395178509925	2.5767
8	SBI-2	cup64	7.41704032084048	1.9908
8	SBI-2	txp297	17.8	4.2369
8	SBI-2	msbcir223	19.1622858508728	4.6574
8	SBI-2	psb0498	22.6799999999997	6.135322
8	SBI-2	psb0541	22.6800000000005	6.135322
8	SBI-2	txp211	24.7	4.9948
8	SBI-2	txp304	27.6	5.7033
9	SBI-2	umc5	109.5	60.9764225
9	SBI-2	txp56	113.2	61.5335975
9	SBI-2	psb0075	134.478818868725	66.011151
10	SBI-2	umc5	109.5	60.9764225
10	SBI-2	txp56	113.2	61.5335975
10	SBI-2	psb0075	134.478818868725	66.011151
11	SBI-2	psb0075	134.478818868725	66.011151
11	SBI-2	psb0266	138.416950162553	68.446943
11	SBI-2	txp429	141.85	68.854
11	SBI-2	txp428	143.216851798466	68.3931
11	SBI-2	psb0077	151.076026146718	69.7317135
12	SBI-2	psb0077	151.076026146718	69.7317135
12	SBI-2	txp7	152.2	70.255987
12	SBI-2	cup26	153.0325	70.2585
12	SBI-2	csu37ab	153.090232630916	70.1285315
12	SBI-2	txp207	154.6	70.2559
12	SBI-2	umc254	155.170232630917	70.1036035
12	SBI-2	txp296	155.5	71.1131
12	SBI-2	psr107	157.530232630917	70.531161
12	SBI-2	umc125	163	71.4904105
13	SBI-2	psr107	157.530232630917	70.531161
13	SBI-2	umc125	163	71.4904105
13	SBI-2	cup40	183.25	75.3633
14	SBI-3	txp492	19.7983082989511	3.6043
14	SBI-3	txp489	38.5840998506641	6.1099
14	SBI-3	txp451	39.9174331839972	6.5217
15	SBI-2	msbcir238	61.9	14.7465
15	SBI-2	cup74	68	40.5307
15	SBI-2	txp3	68	27.8510975
15	SBI-2	txp72	68	27.851052
15	SBI-2	csu81	71.1520888942681	16.278148
15	SBI-2	txp13	74.4	55.9500285
16	SBI-2	txp13	74.4	55.9500285
16	SBI-2	txp298	76.9	57.081
16	SBI-2	sbagb03	90.8414907815631	58.128
17	SBI-2	txp298	76.9	57.081
17	SBI-2	sbagb03	90.8414907815631	58.128
17	SBI-2	cup29	105.1	60.4534
18	SBI-2	sbagb03	90.8414907815631	58.128
18	SBI-2	cup29	105.1	60.4534
18	SBI-2	txp445	107.95	60.4532
18	SBI-2	txp430	108.0625	61.0898
18	SBI-2	msbcir339	108.95	60.1904
18	SBI-2	txp1	109.5	61.3678915
18	SBI-2	umc5	109.5	60.9764225
18	SBI-2	txp56	113.2	61.5335975
19	SBI-2	umc5	109.5	60.9764225
19	SBI-2	txp56	113.2	61.5335975
19	SBI-2	psb0075	134.478818868725	66.011151
20	SBI-2	txp56	113.2	61.5335975
20	SBI-2	psb0075	134.478818868725	66.011151
20	SBI-2	psb0266	138.416950162553	68.446943
21	SBI-2	txp429	141.85	68.854
21	SBI-2	txp428	143.216851798466	68.3931
21	SBI-2	psb0077	151.076026146718	69.7317135
21	SBI-2	txp7	152.2	70.255987
22	SBI-4	cup23	36.1444268134338	4.2567
22	SBI-4	txp26	43.2034048840253	4.9267415
22	SBI-4	msbcir323	54.8845373908768	6.6496
23	SBI-4	txp343	98.4391442377994	48.8024
23	SBI-4	cup28	110.125606263149	51.2496
23	SBI-4	spb9995	112.057740772467	52.9893175
23	SBI-4	spb9303	113.112068288498	52.8715185
24	SBI-5	gpsb003	45.9431329968506	53.3287
24	SBI-5	txp15	47	51.561382
24	SBI-5	txp14	47	42.265243
24	SBI-5	kaf2	94.3	57.858409
25	SBI-7	gpsb114	55.5738649168299	6.3139
25	SBI-7	psb0784	60.4538649168298	5.8787645
25	SBI-7	txp278	82.8338649168298	51.1204
26	SBI-7	sbagb02	138.994123022412	62.5066
26	SBI-7	txp295	143.03386491683	61.172
26	SBI-7	psb0491	152.200531583497	63.6171635
27	SBI-8	cup47	62.5357018088793	5.0427
27	SBI-8	spb7808	74.0655731435356	47.7904995
27	SBI-8	spb5746	76.3175100629062	54.533767
27	SBI-8	gpsb067	78.073833352757	13.745
28	SBI-8	txp250	113.4	51
28	SBI-8	txp105	126.1	52.2819
28	SBI-8	spb1051	144.097596343169	61.959273
29	SBI-9	cup02	71.3254920536278	8.1436
29	SBI-9	txp324	81.2250897924814	45.0905
29	SBI-9	txp10	87.9475654157582	45.6261655
29	SBI-9	txp339	116.047565415758	52.539452
30	SBI-9	txp339	116.047565415758	52.539452
30	SBI-9	gpsb079	125.797565415758	54.0084
30	SBI-9	txp107	132.080898749092	57.913
31	SBI-10	cup16	99.9906769028266	57.7692
31	SBI-10	msbcir262	109.246407624777	55.3239
31	SBI-10	msbcir227	109.856826044438	55.7807
31	SBI-10	txp141	124.746407624777	58.2451
32	SBI-10	msbcir227	109.856826044438	55.7807
32	SBI-10	txp141	124.746407624777	58.2451
32	SBI-10	cup43	126.795766854219	59.7804
32	SBI-10	cup07	133.069611776896	60.5691
NA	SBI-1	gap256	0	NA
NA	SBI-1	txp350	10.4	NA
NA	SBI-1	txp229	152.7	NA
NA	SBI-1	txp75	152.7	NA
NA	SBI-1	txp279	156.2	NA
NA	SBI-1	txp319	195.2	NA
NA	SBI-1	txp340	203.5	NA
NA	SBI-1	cup53	213.063015865759	NA
NA	SBI-1	txp323	214.363015865758	NA
NA	SBI-1	txp46	215.5	NA
NA	SBI-1	txp316	215.5	NA
NA	SBI-1	txp248	215.5	NA
NA	SBI-10	cup49	0	NA
NA	SBI-10	cup42	10.4477747909955	NA
NA	SBI-10	msbcir324	22.6179776941522	NA
NA	SBI-10	msbcir331	27.4464076247765	NA
NA	SBI-10	gpsb027	36.3464076247765	NA
NA	SBI-10	txp309	62.0464076247765	NA
NA	SBI-10	msbcir283	64.0531228091123	NA
NA	SBI-10	sb1-1	97.4724835916617	NA
NA	SBI-2	txp96	0	NA
NA	SBI-2	txp63	2.2	NA
NA	SBI-2	txp197	2.6	NA
NA	SBI-2	cup69	195.2	NA
NA	SBI-3	txp496	3.79134431285901	NA
NA	SBI-3	txp456	4.2340998506641	NA
NA	SBI-3	txp494	6.75559615879502	NA
NA	SBI-3	txp457	7.71984800472935	NA
NA	SBI-3	txp266	12.2340998506642	NA
NA	SBI-3	txp228	12.2340998506642	NA
NA	SBI-3	txp116	13.5700758865818	NA
NA	SBI-3	txp518	13.8162040748075	NA
NA	SBI-3	cup11	15.4440998506639	NA
NA	SBI-3	isep0107	19.6006895248803	NA
NA	SBI-3	txp452	41.9007665173306	NA
NA	SBI-3	txp488	46.3210564138206	NA
NA	SBI-3	txp423	50.227578132242	NA
NA	SBI-3	isep1012	50.6046708643176	NA
NA	SBI-3	txp500	58.552139404439	NA
NA	SBI-3	txp461	76.8840998506645	NA
NA	SBI-3	msbcir224	78.2141849792747	NA
NA	SBI-3	txp33	79.8340998506642	NA
NA	SBI-3	gap236	82.2340998506642	NA
NA	SBI-3	txp336	90.9340998506642	NA
NA	SBI-3	msbcir276	93.0682021005146	NA
NA	SBI-3	txp444	97.2682021005148	NA
NA	SBI-3	txp503	107.734099850664	NA
NA	SBI-3	txp435	111.200766517331	NA
NA	SBI-3	txp512	111.567433183997	NA
NA	SBI-3	txp514	112.450766517331	NA
NA	SBI-3	txp59	118.734099850664	NA
NA	SBI-3	txp231	118.734099850664	NA
NA	SBI-3	txp436	118.734099850664	NA
NA	SBI-3	msbcir314	133.759099850664	NA
NA	SBI-3	txp114	135.034099850664	NA
NA	SBI-3	txp437	137.070997098615	NA
NA	SBI-3	txp438	146.934099850664	NA
NA	SBI-3	txp440	148.326223973369	NA
NA	SBI-3	txp441	149.376223973369	NA
NA	SBI-3	txp446	151.155698920964	NA
NA	SBI-3	txp447	156.534099850664	NA
NA	SBI-3	msbcir225	157.836338878795	NA
NA	SBI-3	txp38	158.634099850664	NA
NA	SBI-3	txp421	158.961338878794	NA
NA	SBI-3	txp285	159.138577906925	NA
NA	SBI-3	txp448	159.247603406245	NA
NA	SBI-3	txp449	160.611106961827	NA
NA	SBI-3	txp422	161.224610517407	NA
NA	SBI-3	txp420	161.838114072988	NA
NA	SBI-3	txp424	161.970382933897	NA
NA	SBI-3	cup14	167.854099850665	NA
NA	SBI-3	txp34	169.334099850664	NA
NA	SBI-3	cup32	171.619751763928	NA
NA	SBI-3	txp69	184.934099850664	NA
NA	SBI-3	txp425	186.884099850664	NA
NA	SBI-3	txp426	188.984099850665	NA
NA	SBI-4	txp506	0	NA
NA	SBI-4	gap121	0.214452605827124	NA
NA	SBI-4	txp504	6.09999999999997	NA
NA	SBI-4	txp104	11.1191442377991	NA
NA	SBI-4	gpsb151	11.1879104955557	NA
NA	SBI-4	txp97	12.5591442377989	NA
NA	SBI-4	cup48	18.522298551357	NA
NA	SBI-4	msbcir340	20.5534441561792	NA
NA	SBI-4	cup05	29.1287664371002	NA
NA	SBI-4	gpsb050	35.1160856605629	NA
NA	SBI-4	cup20	87.1773371293576	NA
NA	SBI-4	txp327	136.739144237799	NA
NA	SBI-4	txp212	146.239144237799	NA
NA	SBI-4	txp51	149.239144237799	NA
