start	end	chr
28.795	33.785	SBI-1
45.33	48.45	SBI-1
69.695	73.925	SBI-1
78.805	86.495	SBI-1
90.09	99.81	SBI-1
125.33	134.23	SBI-1
179.505	185.915	SBI-1
16.075	25.025	SBI-2
111.125	119.135	SBI-2
120.215	126.305	SBI-2
138.545	144.235	SBI-2
153.335	157.125	SBI-2
160.285	165.535	SBI-2
32.755	37.965	SBI-3
66.66	71.44	SBI-3
81.66	85.62	SBI-3
88.67	92.13	SBI-3
103.215	110.725	SBI-3
118.4	124.86	SBI-3
130.555	133.465	SBI-3
143.695	151.645	SBI-3
38.615	47.885	SBI-4
110.03	112.35	SBI-4
47.445	49.735	SBI-5
58.895	62.325	SBI-7
146.595	148.645	SBI-7
65.895	76.345	SBI-8
128.15	135.17	SBI-8
77.69	89.13	SBI-9
126	126.62	SBI-9
107.915	117.245	SBI-10
120.795	133.325	SBI-10
