"Sr"	"Locus.name"	"Minimum"	"Maximum"	"Product"	"Chromosome"	"Physical.Map.Position"	"Component.SSRs"	"Overlaps"	"Duplicates"
"1"	"1"	"iabtp062"	"69229"	"69402"	"173"	"1"	"0.0692"	""	"Overlap with SB0001"	""
"6"	"6"	"iabtp401"	"162120"	"162395"	"275"	"1"	"0.1621"	""	""	""
"12"	"12"	"cup58"	"264642"	"264809"	"167"	"1"	"0.2646"	""	""	""
"14"	"14"	"iabtp271"	"283334"	"283528"	"194"	"1"	"0.2833"	""	"Overlap with SB0011"	""
"21"	"21"	"iabtp061"	"414479"	"414748"	"269"	"1"	"0.4145"	""	"Overlap with SB0018"	""
"33"	"33"	"txp497"	"750352"	"750530"	"178"	"1"	"0.7504"	""	"Overlap with Xiabtp442"	"Same as Xiabtp442"
"34"	"34"	"iabtp442"	"750352"	"750530"	"178"	"1"	"0.7504"	""	"Overlap with Xtxp497"	"Same as Xtxp497"
"42"	"42"	"iabtp243"	"1059015"	"1059253"	"238"	"1"	"1.0590"	"SSR segment included in SB0040"	"Overlap with SB0040"	""
"44"	"44"	">SbCYP79"	"1132768"	"1133806"	"1038"	"1"	"1.1328"	""	""	""
"45"	"45"	"isep0248"	"1163043"	"1163251"	"208"	"1"	"1.1630"	""	""	""
"50"	"50"	"iabtp186"	"1275713"	"1275822"	"109"	"1"	"1.2757"	""	""	""
"52"	"52"	"iabtp342"	"1313238"	"1313425"	"187"	"1"	"1.3132"	""	""	""
"62"	"62"	"isep0338"	"1819676"	"1819877"	"201"	"1"	"1.8197"	""	""	""
"68"	"68"	"isep0346"	"1991943"	"1992147"	"204"	"1"	"1.9919"	""	""	""
"75"	"75"	"isep0341"	"2161305"	"2161528"	"223"	"1"	"2.1613"	""	""	""
"77"	"77"	"iabtp352"	"2244278"	"2244398"	"120"	"1"	"2.2443"	""	""	""
"79"	"79"	"isep0335"	"2319920"	"2320119"	"199"	"1"	"2.3199"	""	""	""
"87"	"87"	"iabtp414"	"2584517"	"2584735"	"218"	"1"	"2.5845"	""	""	""
"91"	"91"	"iabtp404"	"2731201"	"2731407"	"206"	"1"	"2.7312"	""	"Overlap with SB0080"	""
"98"	"98"	"cup01"	"3081424"	"3081621"	"197"	"1"	"3.0814"	""	""	""
"103"	"103"	"iabtp066"	"3296749"	"3296900"	"151"	"1"	"3.2967"	""	""	""
"108"	"108"	"isep0838"	"3571453"	"3571632"	"179"	"1"	"3.5715"	""	""	""
"111"	"111"	"iabtp303"	"3581623"	"3581811"	"188"	"1"	"3.5816"	"SSR segment included in SB0098"	"Overlap with SB0098"	""
"116"	"116"	"iabtp514"	"3817836"	"3818074"	"238"	"1"	"3.8178"	""	""	""
"125"	"125"	">Bx1"	"4247467"	"4247735"	"268"	"1"	"4.2475"	""	""	""
"131"	"131"	"isep0839"	"4438274"	"4438466"	"192"	"1"	"4.4383"	""	""	""
"141"	"141"	"isep0337"	"4880126"	"4880331"	"205"	"1"	"4.8801"	""	""	""
"143"	"143"	"iabtp037"	"5082071"	"5082253"	"182"	"1"	"5.0821"	""	""	""
